date,type,state,district,property_type,properties
2024-07-01,unsold_not_constructed,Johor,Kluang,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Kluang,townhouse,0
2024-07-01,unsold_under_construction,Johor,Kluang,all,1062
2024-07-01,unsold_under_construction,Johor,Kluang,cluster,308
2024-07-01,unsold_under_construction,Johor,Kluang,condominium,0
2024-07-01,unsold_under_construction,Johor,Kluang,detached,10
2024-07-01,unsold_under_construction,Johor,Kluang,flat,0
2024-07-01,unsold_under_construction,Johor,Kluang,flat-lowcost,0
2024-07-01,unsold_under_construction,Johor,Kluang,house-lowcost,0
2024-07-01,unsold_under_construction,Johor,Kluang,semidetached-1-storey,10
2024-07-01,unsold_under_construction,Johor,Kluang,semidetached-2-3-storey,26
2024-07-01,unsold_under_construction,Johor,Kluang,terrace-1-storey,621
2024-07-01,unsold_under_construction,Johor,Kluang,terrace-2-3-storey,87
2024-07-01,unsold_under_construction,Johor,Kluang,townhouse,0
2024-07-01,overhang,Johor,Kota Tinggi,all,210
2024-07-01,overhang,Johor,Kota Tinggi,cluster,16
2024-07-01,overhang,Johor,Kota Tinggi,condominium,0
2024-07-01,overhang,Johor,Kota Tinggi,detached,6
2024-07-01,overhang,Johor,Kota Tinggi,flat,0
2024-07-01,overhang,Johor,Kota Tinggi,flat-lowcost,0
2024-07-01,overhang,Johor,Kota Tinggi,house-lowcost,11
2024-07-01,overhang,Johor,Kota Tinggi,semidetached-1-storey,0
2024-07-01,overhang,Johor,Kota Tinggi,semidetached-2-3-storey,0
2024-07-01,overhang,Johor,Kota Tinggi,terrace-1-storey,0
2024-07-01,overhang,Johor,Kota Tinggi,terrace-2-3-storey,177
2024-07-01,overhang,Johor,Kota Tinggi,townhouse,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,all,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,cluster,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,condominium,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,detached,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,flat,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,semidetached-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,terrace-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Kota Tinggi,townhouse,0
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,all,564
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,cluster,49
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,condominium,0
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,detached,0
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,flat,0
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,flat-lowcost,0
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,house-lowcost,0
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,semidetached-1-storey,0
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,semidetached-2-3-storey,0
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,terrace-1-storey,0
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,terrace-2-3-storey,515
2024-07-01,unsold_under_construction,Johor,Kota Tinggi,townhouse,0
2024-07-01,overhang,Johor,Kulai,all,74
2024-07-01,overhang,Johor,Kulai,cluster,15
2024-07-01,overhang,Johor,Kulai,condominium,43
2024-07-01,overhang,Johor,Kulai,detached,0
2024-07-01,overhang,Johor,Kulai,flat,0
2024-07-01,overhang,Johor,Kulai,flat-lowcost,0
2024-07-01,overhang,Johor,Kulai,house-lowcost,0
2024-07-01,overhang,Johor,Kulai,semidetached-1-storey,0
2024-07-01,overhang,Johor,Kulai,semidetached-2-3-storey,7
2024-07-01,overhang,Johor,Kulai,terrace-1-storey,0
2024-07-01,overhang,Johor,Kulai,terrace-2-3-storey,9
2024-07-01,overhang,Johor,Kulai,townhouse,0
